nome_grande_regiao;uf;nome_da_uf;cod_municipio;codmun6;nome_do_municipio;measure_1f_12;d_measure_1f_12;q_measure_1f_12
RegiAo Norte;11;RondÃ´nia;1100015;110001;ALTA FLORESTA D'OESTE;.086047113;9;5
RegiAo Norte;11;RondÃ´nia;1100023;110002;ARIQUEMES;-.53606576;8;4
RegiAo Norte;11;RondÃ´nia;1100031;110003;CABIXI;.0332468;9;5
RegiAo Norte;11;RondÃ´nia;1100049;110004;CACOAL;-.71002746;7;4
RegiAo Norte;11;RondÃ´nia;1100056;110005;CEREJEIRAS;-.43189067;8;4
RegiAo Norte;11;RondÃ´nia;1100064;110006;COLORADO DO OESTE;-.21370147;8;4
RegiAo Norte;11;RondÃ´nia;1100072;110007;CORUMBIARA;.10599551;9;5
RegiAo Norte;11;RondÃ´nia;1100080;110008;COSTA MARQUES;.15794151;9;5
RegiAo Norte;11;RondÃ´nia;1100098;110009;ESPIGAO D'OESTE;-.15896243;8;4
RegiAo Norte;11;RondÃ´nia;1100106;110010;GUAJARA-MIRIM;-.17029403;8;4
RegiAo Norte;11;RondÃ´nia;1100114;110011;JARU;-.19694051;8;4
RegiAo Norte;11;RondÃ´nia;1100122;110012;JI-PARANA;-.63801253;7;4
RegiAo Norte;11;RondÃ´nia;1100130;110013;MACHADINHO D'OESTE;.28199753;9;5
RegiAo Norte;11;RondÃ´nia;1100148;110014;NOVA BRASILÃ‚NDIA D'OESTE;.21963985;9;5
RegiAo Norte;11;RondÃ´nia;1100155;110015;OURO PRETO DO OESTE;-.38576403;8;4
RegiAo Norte;11;RondÃ´nia;1100189;110018;PIMENTA BUENO;-.70133531;7;4
RegiAo Norte;11;RondÃ´nia;1100205;110020;PORTO VELHO;-.86200666;6;3
RegiAo Norte;11;RondÃ´nia;1100254;110025;PRESIDENTE MEDICI;-.0041471869;9;5
RegiAo Norte;11;RondÃ´nia;1100262;110026;RIO CRESPO;.14305624;9;5
RegiAo Norte;11;RondÃ´nia;1100288;110028;ROLIM DE MOURA;-.52201372;8;4
RegiAo Norte;11;RondÃ´nia;1100296;110029;SANTA LUZIA D'OESTE;.094464011;9;5
RegiAo Norte;11;RondÃ´nia;1100304;110030;VILHENA;-.80009532;7;4
RegiAo Norte;11;RondÃ´nia;1100320;110032;SAO MIGUEL DO GUAPORE;.17074439;9;5
RegiAo Norte;11;RondÃ´nia;1100338;110033;NOVA MAMORE;.40182173;9;5
RegiAo Norte;11;RondÃ´nia;1100346;110034;ALVORADA D'OESTE;.02740613;9;5
RegiAo Norte;11;RondÃ´nia;1100379;110037;ALTO ALEGRE DOS PARECIS;.42411172;9;5
RegiAo Norte;11;RondÃ´nia;1100403;110040;ALTO PARAISO;.15962866;9;5
RegiAo Norte;11;RondÃ´nia;1100452;110045;BURITIS;.025112351;9;5
RegiAo Norte;11;RondÃ´nia;1100502;110050;NOVO HORIZONTE DO OESTE;.31105506;9;5
RegiAo Norte;11;RondÃ´nia;1100601;110060;CACAULÃ‚NDIA;.088234484;9;5
RegiAo Norte;11;RondÃ´nia;1100700;110070;CAMPO NOVO DE RONDÃ”NIA;.49877641;9;5
RegiAo Norte;11;RondÃ´nia;1100809;110080;CANDEIAS DO JAMARI;-.0057004411;9;5
RegiAo Norte;11;RondÃ´nia;1100908;110090;CASTANHEIRAS;.17651914;9;5
RegiAo Norte;11;RondÃ´nia;1100924;110092;CHUPINGUAIA;-.025836339;8;4
RegiAo Norte;11;RondÃ´nia;1100940;110094;CUJUBIM;.05695213;9;5
RegiAo Norte;11;RondÃ´nia;1101005;110100;GOVERNADOR JORGE TEIXEIRA;.2721048;9;5
RegiAo Norte;11;RondÃ´nia;1101104;110110;ITAPUA DO OESTE;.1274751;9;5
RegiAo Norte;11;RondÃ´nia;1101203;110120;MINISTRO ANDREAZZA;.20093125;9;5
RegiAo Norte;11;RondÃ´nia;1101302;110130;MIRANTE DA SERRA;.18174745;9;5
RegiAo Norte;11;RondÃ´nia;1101401;110140;MONTE NEGRO;.23960966;9;5
RegiAo Norte;11;RondÃ´nia;1101435;110143;NOVA UNIAO;.50495309;9;5
RegiAo Norte;11;RondÃ´nia;1101450;110145;PARECIS;.40037194;9;5
RegiAo Norte;11;RondÃ´nia;1101468;110146;PIMENTEIRAS DO OESTE;-.18630834;8;4
RegiAo Norte;11;RondÃ´nia;1101476;110147;PRIMAVERA DE RONDÃ”NIA;.13453655;9;5
RegiAo Norte;11;RondÃ´nia;1101484;110148;SAO FELIPE D'OESTE;.19247961;9;5
RegiAo Norte;11;RondÃ´nia;1101492;110149;SAO FRANCISCO DO GUAPORE;.10902359;9;5
RegiAo Norte;11;RondÃ´nia;1101500;110150;SERINGUEIRAS;.20693597;9;5
RegiAo Norte;11;RondÃ´nia;1101559;110155;TEIXEIROPOLIS;.028189272;9;5
RegiAo Norte;11;RondÃ´nia;1101609;110160;THEOBROMA;.50607151;9;5
RegiAo Norte;11;RondÃ´nia;1101708;110170;URUPA;.21401195;9;5
RegiAo Norte;11;RondÃ´nia;1101757;110175;VALE DO ANARI;.55999309;9;5
RegiAo Norte;11;RondÃ´nia;1101807;110180;VALE DO PARAISO;.31467116;9;5
RegiAo Norte;12;Acre;1200013;120001;ACRELÃ‚NDIA;.60249376;9;5
RegiAo Norte;12;Acre;1200054;120005;ASSIS BRASIL;.87539595;10;5
RegiAo Norte;12;Acre;1200104;120010;BRASILEIA;.40460071;9;5
RegiAo Norte;12;Acre;1200138;120013;BUJARI;.97408962;10;5
RegiAo Norte;12;Acre;1200179;120017;CAPIXABA;.79933852;10;5
RegiAo Norte;12;Acre;1200203;120020;CRUZEIRO DO SUL;.63840914;9;5
RegiAo Norte;12;Acre;1200252;120025;EPITACIOLÃ‚NDIA;.41793525;9;5
RegiAo Norte;12;Acre;1200302;120030;FEIJO;1.845.865;10;5
RegiAo Norte;12;Acre;1200328;120032;JORDAO;20.933.526;10;5
RegiAo Norte;12;Acre;1200336;120033;MÃ‚NCIO LIMA;12.828.256;10;5
RegiAo Norte;12;Acre;1200344;120034;MANOEL URBANO;15.551.308;10;5
RegiAo Norte;12;Acre;1200351;120035;MARECHAL THAUMATURGO;22.734.954;10;5
RegiAo Norte;12;Acre;1200385;120038;PLACIDO DE CASTRO;.65867877;9;5
RegiAo Norte;12;Acre;1200393;120039;PORTO WALTER;23.076.322;10;5
RegiAo Norte;12;Acre;1200401;120040;RIO BRANCO;-.58222735;7;4
RegiAo Norte;12;Acre;1200427;120042;RODRIGUES ALVES;18.310.935;10;5
RegiAo Norte;12;Acre;1200435;120043;SANTA ROSA DO PURUS;18.831.383;10;5
RegiAo Norte;12;Acre;1200450;120045;SENADOR GUIOMARD;.39970389;9;5
RegiAo Norte;12;Acre;1200500;120050;SENA MADUREIRA;10.479.527;10;5
RegiAo Norte;12;Acre;1200609;120060;TARAUACA;17.850.679;10;5
RegiAo Norte;12;Acre;1200708;120070;XAPURI;.75970393;9;5
RegiAo Norte;12;Acre;1200807;120080;PORTO ACRE;10.592.995;10;5
RegiAo Norte;13;Amazonas;1300029;130002;ALVARAES;13.740.971;10;5
RegiAo Norte;13;Amazonas;1300060;130006;AMATURA;1.637.475;10;5
RegiAo Norte;13;Amazonas;1300086;130008;ANAMA;10.858.692;10;5
RegiAo Norte;13;Amazonas;1300102;130010;ANORI;13.077.018;10;5
RegiAo Norte;13;Amazonas;1300144;130014;APUI;.33332229;9;5
RegiAo Norte;13;Amazonas;1300201;130020;ATALAIA DO NORTE;24.550.622;10;5
RegiAo Norte;13;Amazonas;1300300;130030;AUTAZES;1.138.363;10;5
RegiAo Norte;13;Amazonas;1300409;130040;BARCELOS;20.354.953;10;5
RegiAo Norte;13;Amazonas;1300508;130050;BARREIRINHA;13.215.933;10;5
RegiAo Norte;13;Amazonas;1300607;130060;BENJAMIN CONSTANT;15.238.299;10;5
RegiAo Norte;13;Amazonas;1300631;130063;BERURI;17.303.165;10;5
RegiAo Norte;13;Amazonas;1300680;130068;BOA VISTA DO RAMOS;.96394974;10;5
RegiAo Norte;13;Amazonas;1300706;130070;BOCA DO ACRE;14.692.601;10;5
RegiAo Norte;13;Amazonas;1300805;130080;BORBA;13.655.869;10;5
RegiAo Norte;13;Amazonas;1300839;130083;CAAPIRANGA;11.140.749;10;5
RegiAo Norte;13;Amazonas;1300904;130090;CANUTAMA;15.498.374;10;5
RegiAo Norte;13;Amazonas;1301001;130100;CARAUARI;14.133.273;10;5
RegiAo Norte;13;Amazonas;1301100;130110;CAREIRO;10.729.796;10;5
RegiAo Norte;13;Amazonas;1301159;130115;CAREIRO DA VARZEA;15.253.882;10;5
RegiAo Norte;13;Amazonas;1301209;130120;COARI;.98438102;10;5
RegiAo Norte;13;Amazonas;1301308;130130;CODAJAS;10.923.885;10;5
RegiAo Norte;13;Amazonas;1301407;130140;EIRUNEPE;20.453.918;10;5
RegiAo Norte;13;Amazonas;1301506;130150;ENVIRA;20.499.067;10;5
RegiAo Norte;13;Amazonas;1301605;130160;FONTE BOA;16.042.867;10;5
RegiAo Norte;13;Amazonas;1301654;130165;GUAJARA;18.899.355;10;5
RegiAo Norte;13;Amazonas;1301704;130170;HUMAITA;.67398685;9;5
RegiAo Norte;13;Amazonas;1301803;130180;IPIXUNA;26.147.814;10;5
RegiAo Norte;13;Amazonas;1301852;130185;IRANDUBA;.56021577;9;5
RegiAo Norte;13;Amazonas;1301902;130190;ITACOATIARA;.33206338;9;5
RegiAo Norte;13;Amazonas;1301951;130195;ITAMARATI;24.936.483;10;5
RegiAo Norte;13;Amazonas;1302009;130200;ITAPIRANGA;.44047126;9;5
